,시장구분,종목코드,종목명,산업분류,현재가.종가.,전일대비,시가총액.원.,일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,게시물..일련번호,총카운트
1,코스피,5930,삼성전자,전기전자,50400,-700,3.01E+14,2019-10-30,-,50400,"6,461",7.8,"35,342",1.43,1416,2.81,1667,NA
2,코스피,660,SK하이닉스,전기전자,81500,-1500,5.93E+13,2019-10-30,-,81500,"22,255",3.66,"64,348",1.27,1500,1.84,1400,NA
3,코스피,207940,삼성바이오로직스,의약품,397000,-3500,2.63E+13,2019-10-30,-,397000,"3,387",117.21,"62,805",6.32,0,0,2195,NA
4,코스피,68270,셀트리온,의약품,204000,-1500,2.62E+13,2019-10-30,-,204000,"2,063",98.89,"19,766",10.32,0,0,2039,NA
5,코스피,5380,현대차,운수장비,122500,0,2.62E+13,2019-10-30,-,122500,"5,632",21.75,"245,447",0.5,4000,3.27,1641,NA
6,코스피,35420,NAVER,서비스업,154500,1500,2.55E+13,2019-10-30,-,154500,"4,437",34.82,"31,795",4.86,314,0.2,1988,NA
7,코스피,12330,현대모비스,운수장비,238000,500,2.27E+13,2019-10-30,-,238000,"19,944",11.93,"314,650",0.76,4000,1.68,1829,NA
8,코스피,51910,LG화학,화학,305000,5000,2.15E+13,2019-10-30,-,305000,"19,217",15.87,"218,227",1.4,6000,1.97,2019,NA
9,코스피,55550,신한지주,금융업,43150,-850,2.05E+13,2019-10-30,-,43150,"6,579",6.56,"75,339",0.57,1600,3.71,2025,NA
10,코스피,51900,LG생활건강,화학,1247000,23000,1.95E+13,2019-10-30,-,1247000,"40,740",30.61,"198,221",6.29,9250,0.74,2017,NA
11,코스피,17670,SK텔레콤,통신업,234000,-1000,1.89E+13,2019-10-30,-,234000,"44,066",5.31,"278,291",0.84,10000,4.27,1889,NA
12,코스피,28260,삼성물산,유통업,97300,-1200,1.85E+13,2019-10-30,-,97300,"10,384",9.37,"104,259",0.93,2000,2.06,1949,NA
13,코스피,5490,POSCO,철강금속,211000,-1000,1.84E+13,2019-10-30,-,211000,"20,911",10.09,"497,452",0.42,10000,4.74,1650,NA
14,코스피,34730,SK,금융업,256500,-500,1.80E+13,2019-10-30,-,256500,"40,310",6.36,"234,433",1.09,5000,1.95,1982,NA
15,코스피,105560,KB금융,금융업,42450,-150,1.77E+13,2019-10-30,-,42450,"7,721",5.5,"85,393",0.5,1920,4.52,2131,NA
16,코스피,270,기아차,운수장비,42300,-400,1.71E+13,2019-10-30,-,42300,"2,883",14.67,"67,208",0.63,900,2.13,1382,NA
17,코스피,15760,한국전력,전기가스업,25850,750,1.66E+13,2019-10-30,-,25850,-,-,"108,641",0.24,0,0,1869,NA
18,코스피,6400,삼성SDI,전기전자,230000,2000,1.58E+13,2019-10-30,-,230000,"10,484",21.94,"169,560",1.36,1000,0.43,1690,NA
19,코스피,18260,삼성에스디에스,서비스업,204000,0,1.58E+13,2019-10-30,-,204000,"8,137",25.07,"77,315",2.64,2000,0.98,1896,NA
20,코스피,96770,SK이노베이션,화학,159000,-3500,1.47E+13,2019-10-30,-,159000,"18,267",8.7,"193,402",0.82,8000,5.03,2113,NA
21,코스피,32830,삼성생명,금융업,70700,-1500,1.41E+13,2019-10-30,-,70700,"9,268",7.63,"144,510",0.49,2650,3.75,1967,NA
22,코스피,33780,KT&G,기타제조,101500,0,1.39E+13,2019-10-30,-,101500,"7,141",14.21,"58,847",1.72,4000,3.94,1974,NA
23,코스피,3550,LG,금융업,69100,-400,1.19E+13,2019-10-30,-,69100,"10,603",6.52,"102,340",0.68,2000,2.89,1562,NA
24,코스피,35720,카카오,서비스업,138000,-1500,1.16E+13,2019-10-30,-,138000,623,221.51,"61,602",2.24,127,0.09,1990,NA
25,코스피,10950,S-Oil,화학,101500,-500,1.14E+13,2019-10-30,-,101500,"2,216",45.8,"55,480",1.83,750,0.74,1795,NA
26,코스피,36570,엔씨소프트,서비스업,519000,6000,1.14E+13,2019-10-30,-,519000,"19,831",26.17,"107,923",4.81,6050,1.17,1994,NA
27,코스피,66570,LG전자,전기전자,68500,-500,1.12E+13,2019-10-30,-,68500,"6,882",9.95,"78,820",0.87,750,1.09,2036,NA
28,코스피,90430,아모레퍼시픽,화학,184000,23000,1.08E+13,2019-10-30,-,184000,"4,815",38.21,"64,072",2.87,1180,0.64,2096,NA
29,코스피,810,삼성화재,금융업,218000,-3000,1.03E+13,2019-10-30,-,218000,"25,182",8.66,"244,508",0.89,11500,5.28,1407,NA
30,코스피,86790,하나금융지주,금융업,33800,-650,1.01E+13,2019-10-30,-,33800,"7,360",4.59,"88,026",0.38,1900,5.62,2087,NA
31,코스피,9540,한국조선해양,운수장비,122500,-5500,8.67E+12,2019-10-30,-,122500,-,-,"167,892",0.73,0,0,1768,NA
32,코스피,9150,삼성전기,전기전자,114500,-2500,8.55E+12,2019-10-30,-,114500,"8,685",13.18,"62,126",1.84,1000,0.87,1749,NA
33,코스피,316140,우리금융지주,금융업,11800,-300,8.52E+12,2019-10-30,-,11800,-,-,-,-,NA,NA,2242,NA
34,코스피,10130,고려아연,철강금속,438500,-500,8.27E+12,2019-10-30,-,438500,"29,841",14.69,"331,214",1.32,11000,2.51,1781,NA
35,코스닥,91990,셀트리온헬스케어,유통,55800,-1000,8.03E+12,2019-10-30,-,55800,80,697.5,"11,419",4.89,0,0,756,NA
36,코스피,11170,롯데케미칼,화학,227000,-6000,7.78E+12,2019-10-30,-,227000,"46,074",4.93,"371,541",0.61,10500,4.63,1804,NA
37,코스피,251270,넷마블,서비스업,88000,1600,7.55E+12,2019-10-30,-,88000,"2,230",39.46,"51,303",1.72,0,0,2211,NA
38,코스피,2790,아모레G,화학,84500,12800,6.97E+12,2019-10-30,-,84500,"1,708",49.47,"35,082",2.41,310,0.37,1518,NA
39,코스피,30200,KT,통신업,26600,-150,6.95E+12,2019-10-30,-,26600,"2,809",9.47,"50,563",0.53,1100,4.14,1956,NA
40,코스피,24110,기업은행,금융업,11800,-250,6.81E+12,2019-10-30,-,11800,"2,531",4.66,"31,891",0.37,690,5.85,1927,NA
41,코스피,35250,강원랜드,서비스업,31650,0,6.77E+12,2019-10-30,-,31650,"1,467",21.57,"16,765",1.89,900,2.84,1987,NA
42,코스피,21240,웅진코웨이,서비스업,90500,200,6.68E+12,2019-10-30,-,90500,"4,854",18.64,"14,744",6.14,3600,3.98,1914,NA
43,코스닥,28300,에이치엘비,운송장비·부품,170000,9100,6.67E+12,2019-10-30,-,170000,678,250.74,"4,438",38.31,0,0,163,NA
44,코스피,18880,한온시스템,기계,11650,-350,6.22E+12,2019-10-30,-,11650,520,22.4,"3,816",3.05,320,2.75,1900,NA
45,코스피,32640,LG유플러스,통신업,13800,0,6.03E+12,2019-10-30,-,13800,"1,103",12.51,"15,696",0.88,400,2.9,1966,NA
46,코스피,86280,현대글로비스,운수창고업,151000,-3000,5.66E+12,2019-10-30,-,151000,"11,663",12.95,"113,605",1.33,3300,2.19,2086,NA
47,코스피,267250,현대중공업지주,화학,344500,-7500,5.61E+12,2019-10-30,-,344500,"18,371",18.75,"474,469",0.73,18500,5.37,2214,NA
48,코스피,34220,LG디스플레이,전기전자,13500,-200,4.83E+12,2019-10-30,-,13500,-,-,"39,068",0.35,0,0,1978,NA
49,코스피,720,현대건설,건설업,43000,-600,4.79E+12,2019-10-30,-,43000,"3,424",12.56,"56,293",0.76,500,1.16,1404,NA
